Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
52,-6.047063057,-10.18066706,4.028904674,-1.04369941e-06,6.105298362,3.049704077e-08,-6.057360682,-38.97727475,11.92152218,1.894594329e-06,27.10735568,3.292351757e-05
53,-5.311335834,-10.18621705,4.029792734,-1.022274762e-06,6.108533416,2.987100958e-08,-5.321951113,-38.9765773,11.91911226,1.855702846e-06,27.11065421,3.224767662e-05
54,-4.572701966,-10.19178898,4.030684303,-1.00076547e-06,6.111781251,2.924250513e-08,-4.583636154,-38.97587709,11.91669281,1.816657714e-06,27.11396578,3.156916562e-05
55,-3.831576688,-10.19737969,4.031578879,-9.791836283e-07,6.115040041,2.861188072e-08,-3.84283086,-38.97517452,11.9142652,1.777480883e-06,27.11728852,3.088836601e-05
56,-3.088375235,-10.20298607,4.032475962,-9.575413274e-07,6.11830796,2.79794897e-08,-3.099950288,-38.97446998,11.9118308,1.738194303e-06,27.12062057,3.020565922e-05
57,-2.343512842,-10.20860498,4.033375049,-9.358506592e-07,6.121583183,2.734568539e-08,-2.355409493,-38.97376386,11.90939095,1.698819923e-06,27.12396006,2.952142668e-05
58,-1.597404744,-10.21423329,4.034275639,-9.141237157e-07,6.124863882,2.67108211e-08,-1.609623531,-38.97305657,11.90694702,1.659379694e-06,27.12730514,2.883604984e-05
59,-0.8504661758,-10.21986786,4.035177233,-8.923725885e-07,6.128148234,2.607525016e-08,-0.8630074568,-38.97234849,11.90450037,1.619895565e-06,27.13065394,2.814991012e-05
60,-0.1031123727,-10.22550556,4.036079327,-8.706093696e-07,6.131434411,2.54393259e-08,-0.1159763274,-38.97164001,11.90205236,1.580389486e-06,27.1340046,2.746338897e-05
61,0.6442414304,-10.23114326,4.036981421,-8.488461506e-07,6.134720589,2.480340164e-08,0.6310548021,-38.97093153,11.89960435,1.540883407e-06,27.13735526,2.677686782e-05
62,1.391179998,-10.23677783,4.037883014,-8.270950235e-07,6.13800494,2.416783071e-08,1.377670876,-38.97022345,11.8971577,1.501399278e-06,27.14070406,2.609072811e-05
63,2.137288096,-10.24240614,4.038783605,-8.053680799e-07,6.14128564,2.353296642e-08,2.123456838,-38.96951616,11.89471377,1.461959049e-06,27.14404914,2.540535126e-05
64,2.88215049,-10.24802505,4.039682692,-7.836774118e-07,6.144560862,2.28991621e-08,2.867997633,-38.96881004,11.89227393,1.422584669e-06,27.14738863,2.472111873e-05
65,3.625351943,-10.25363143,4.040579775,-7.620351108e-07,6.147828782,2.226677108e-08,3.610878205,-38.9681055,11.88983952,1.383298089e-06,27.15072068,2.403841193e-05
66,4.366477221,-10.25922214,4.041474351,-7.404532688e-07,6.151087571,2.163614668e-08,4.351683499,-38.96740293,11.88741191,1.344121258e-06,27.15404342,2.335761232e-05
67,5.105111088,-10.26479407,4.04236592,-7.189439776e-07,6.154335407,2.100764222e-08,5.089998458,-38.96670272,11.88499246,1.305076126e-06,27.15735499,2.267910132e-05
68,5.840838311,-10.27034406,4.04325398,-6.97519329e-07,6.157570461,2.038161103e-08,5.825408027,-38.96600527,11.88258254,1.266184643e-06,27.16065352,2.200326038e-05
69,6.573243654,-10.275869,4.044138031,-6.761914147e-07,6.160790909,1.975840644e-08,6.557497151,-38.96531096,11.88018349,1.227468759e-06,27.16393717,2.133047092e-05
70,7.301911882,-10.28136575,4.045017571,-6.549723266e-07,6.163994924,1.913838176e-08,7.285850772,-38.9646202,11.87779669,1.188950424e-06,27.16720405,2.066111439e-05
