Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
53,-10.16433836,-8.429655833e-07,9.477733208e-07,-5.899439038e-07,-1.146614894e-05,1.723824227e-08,-10.16432339,-5.319354015,-3.28453442,1.070906397e-06,8.603893815,-1.647529328e-09
54,-9.674453951,-8.02337686e-07,9.02094069e-07,-5.615107378e-07,-1.091352196e-05,1.640742123e-08,-9.674439702,-5.062980358,-3.126231721,1.019292575e-06,8.1892172,-1.568124363e-09
55,-9.190309843,-7.621858525e-07,8.569500711e-07,-5.33410742e-07,-1.036737048e-05,1.558633548e-08,-9.190296307,-4.809610801,-2.969783959,9.682835469e-07,7.779399624,-1.489649839e-09
56,-8.712452728,-7.225554224e-07,8.123923037e-07,-5.056756468e-07,-9.828311207e-06,1.477591217e-08,-8.712439896,-4.559531448,-2.815367795,9.179369112e-07,7.374903855,-1.412194368e-09
57,-8.241429304,-6.83491735e-07,7.684717434e-07,-4.783371828e-07,-9.296960857e-06,1.397707848e-08,-8.241417165,-4.313028404,-2.663159889,8.683102674e-07,6.976192656,-1.335846565e-09
58,-7.777786263,-6.450401298e-07,7.252393668e-07,-4.514270805e-07,-8.773936144e-06,1.319076158e-08,-7.777774808,-4.070387774,-2.513336903,8.19461215e-07,6.583728794,-1.260695042e-09
59,-7.322070302,-6.072459461e-07,6.827461504e-07,-4.249770704e-07,-8.259853781e-06,1.241788863e-08,-7.322059518,-3.831895661,-2.366075497,7.714473531e-07,6.197975034,-1.186828413e-09
60,-6.874828116,-5.701545234e-07,6.410430708e-07,-3.990188828e-07,-7.755330482e-06,1.165938681e-08,-6.87481799,-3.597838172,-2.221552332,7.243262813e-07,5.819394142,-1.114335291e-09
61,-6.4366064,-5.338112012e-07,6.001811045e-07,-3.735842484e-07,-7.260982962e-06,1.091618328e-08,-6.43659692,-3.36850141,-2.079944067,6.781555988e-07,5.448448884,-1.04330429e-09
62,-6.007951849,-4.982613187e-07,5.602112281e-07,-3.487048977e-07,-6.777427933e-06,1.018920522e-08,-6.007943,-3.144171481,-1.941427365,6.32992905e-07,5.085602026,-9.738240227e-10
63,-5.589411157,-4.635502155e-07,5.211844182e-07,-3.24412561e-07,-6.30528211e-06,9.479379794e-09,-5.589402925,-2.925134488,-1.806178886,5.888957993e-07,4.731316333,-9.05983103e-10
64,-5.181531022,-4.29723231e-07,4.831516514e-07,-3.00738969e-07,-5.845162206e-06,8.787634169e-09,-5.18152339,-2.711676537,-1.67437529,5.45921881e-07,4.38605457,-8.398701439e-10
65,-4.784858136,-3.968257045e-07,4.461639042e-07,-2.777158521e-07,-5.397684936e-06,8.114895516e-09,-4.784851089,-2.504083733,-1.546193239,5.041287494e-07,4.050279504,-7.755737589e-10
66,-4.399939197,-3.649029755e-07,4.102721532e-07,-2.553749408e-07,-4.963467013e-06,7.462091004e-09,-4.399932716,-2.302642179,-1.421809392,4.63574004e-07,3.7244539,-7.131825615e-10
67,-4.027320898,-3.340003835e-07,3.755273749e-07,-2.337479655e-07,-4.543125151e-06,6.830147804e-09,-4.027314966,-2.107637982,-1.30140041,4.24315244e-07,3.409040524,-6.527851648e-10
68,-3.667549935,-3.041632678e-07,3.419805459e-07,-2.128666569e-07,-4.137276064e-06,6.219993085e-09,-3.667544533,-1.919357245,-1.185142955,3.864100689e-07,3.104502141,-5.944701824e-10
69,-3.321173003,-2.754369678e-07,3.096826429e-07,-1.927627453e-07,-3.746536465e-06,5.632554015e-09,-3.321168111,-1.738086073,-1.073213687,3.499160779e-07,2.811301518,-5.383262275e-10
