Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
51,-6.931900329,-15.02705529,9.745262649,-1.741218739e-06,5.399628068,2.110064707e-05,-7.016424732,-23.43607314,-6.999628956,-5.166241652e-05,29.69089509,-0.0005832031413
52,-6.212485226,-15.02705575,9.745262852,-1.741218739e-06,5.399627652,2.176653268e-05,-6.288716218,-23.43607347,-6.999628956,-5.125137572e-05,29.69089509,-0.0005825372557
53,-5.489653112,-15.02705621,9.745263056,-1.741218739e-06,5.399627234,2.243558107e-05,-5.5575513,-23.4360738,-6.999628956,-5.08383826e-05,29.69089509,-0.0005818682073
54,-4.763805986,-15.02705667,9.74526326,-1.741218739e-06,5.399626814,2.310742012e-05,-4.823336614,-23.43607414,-6.999628956,-5.042366684e-05,29.69089509,-0.0005811963683
55,-4.035345851,-15.02705714,9.745263466,-1.741218739e-06,5.399626392,2.378167776e-05,-4.086478796,-23.43607448,-6.999628956,-5.000745813e-05,29.69089509,-0.0005805221106
56,-3.304674708,-15.0270576,9.745263672,-1.741218739e-06,5.39962597,2.445798189e-05,-3.347384482,-23.43607481,-6.999628956,-4.958998615e-05,29.69089509,-0.0005798458065
57,-2.572194558,-15.02705807,9.745263879,-1.741218739e-06,5.399625546,2.513596042e-05,-2.606460307,-23.43607515,-6.999628956,-4.917148058e-05,29.69089509,-0.000579167828
58,-1.838307404,-15.02705853,9.745264086,-1.741218739e-06,5.399625121,2.581524127e-05,-1.864112906,-23.43607549,-6.999628956,-4.875217112e-05,29.69089509,-0.0005784885471
59,-1.103415245,-15.027059,9.745264293,-1.741218739e-06,5.399624696,2.649545235e-05,-1.120748917,-23.43607583,-6.999628956,-4.833228744e-05,29.69089509,-0.0005778083361
60,-0.3679200849,-15.02705947,9.7452645,-1.741218739e-06,5.399624271,2.717622155e-05,-0.3767749736,-23.43607617,-6.999628956,-4.791205924e-05,29.69089509,-0.0005771275669
61,0.3677760763,-15.02705993,9.745264708,-1.741218739e-06,5.399623845,2.785717681e-05,0.3674022874,-23.43607651,-6.999628956,-4.749171619e-05,29.69089509,-0.0005764466116
62,1.103271237,-15.0270604,9.745264915,-1.741218739e-06,5.39962342,2.853794602e-05,1.111376231,-23.43607685,-6.999628956,-4.707148799e-05,29.69089509,-0.0005757658424
63,1.838163395,-15.02706087,9.745265123,-1.741218739e-06,5.399622995,2.921815709e-05,1.85474022,-23.43607719,-6.999628956,-4.665160431e-05,29.69089509,-0.0005750856313
64,2.57205055,-15.02706134,9.74526533,-1.741218739e-06,5.39962257,2.989743794e-05,2.59708762,-23.43607753,-6.999628956,-4.623229484e-05,29.69089509,-0.0005744063505
65,3.304530699,-15.0270618,9.745265536,-1.741218739e-06,5.399622146,3.057541647e-05,3.338011796,-23.43607787,-6.999628956,-4.581378928e-05,29.69089509,-0.000573728372
66,4.035201842,-15.02706227,9.745265742,-1.741218739e-06,5.399621724,3.125172061e-05,4.07710611,-23.43607821,-6.999628956,-4.53963173e-05,29.69089509,-0.0005730520678
67,4.763661978,-15.02706273,9.745265948,-1.741218739e-06,5.399621302,3.192597824e-05,4.813963928,-23.43607855,-6.999628956,-4.498010858e-05,29.69089509,-0.0005723778102
68,5.489509103,-15.02706319,9.745266153,-1.741218739e-06,5.399620882,3.25978173e-05,5.548178614,-23.43607888,-6.999628956,-4.456539282e-05,29.69089509,-0.0005717059712
69,6.212341218,-15.02706365,9.745266357,-1.741218739e-06,5.399620464,3.326686568e-05,6.279343532,-23.43607922,-6.999628956,-4.41523997e-05,29.69089509,-0.0005710369228
