Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
48,3.903891659e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-5.330882088e-05,-4.939506682,-14.92526891,-0.0001198080656,19.86477377,8.652917296e-05
49,3.718242152e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-5.580506096e-05,-5.080176241,-15.35031758,-0.0001233100293,20.430492,9.055789801e-05
50,3.534256999e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-5.827892216e-05,-5.219584693,-15.77155567,-0.0001267805977,20.99113854,9.455050539e-05
51,3.352158115e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-6.072742063e-05,-5.357563889,-16.18847511,-0.0001302155849,21.54603717,9.850217942e-05
52,3.172167414e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-6.314757251e-05,-5.493945682,-16.60056782,-0.0001336108049,22.09451167,0.0001024081044
53,2.994506809e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-6.553639396e-05,-5.628561924,-17.00732571,-0.0001369620715,22.63588582,0.0001062634646
54,2.819398214e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-6.789090111e-05,-5.761244468,-17.40824073,-0.0001402651987,23.16948338,0.0001100634445
55,2.647063544e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-7.020811013e-05,-5.891825166,-17.80280478,-0.0001435160006,23.69462813,0.0001138032282
56,2.477724712e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-7.248503716e-05,-6.02013587,-18.1905098,-0.000146710291,24.21064385,0.0001174780001
57,2.311603632e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-7.471869835e-05,-6.146008432,-18.5708477,-0.000149843884,24.71685431,0.0001210829445
58,2.148922218e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-7.690610984e-05,-6.269274705,-18.94331041,-0.0001529125935,25.21258329,0.0001246132458
59,1.989902384e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-7.90442878e-05,-6.38976654,-19.30738985,-0.0001559122335,25.69715457,0.0001280640882
60,1.834766044e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-8.113024836e-05,-6.507315792,-19.66257794,-0.0001588386179,26.16989191,0.000131430656
61,1.683735113e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-8.316100767e-05,-6.621754311,-20.00836661,-0.0001616875608,26.6301191,0.0001347081336
62,1.537031503e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-8.513358189e-05,-6.732913949,-20.34424779,-0.0001644548761,27.07715991,0.0001378917052
63,1.394877129e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-8.704498716e-05,-6.84062656,-20.66971338,-0.0001671363777,27.51033812,0.0001409765553
64,1.257493905e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-8.889223963e-05,-6.944723996,-20.98425532,-0.0001697278797,27.9289775,0.000143957868
65,1.125103744e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-9.067235546e-05,-7.045038108,-21.28736553,-0.000172225196,28.33240182,0.0001468308277
