Step_Original,MaxD_Original,Step_Optimized,MaxD_Optimized
nan,nan,395,0.1605788377
nan,nan,396,0.1693217473
nan,nan,397,0.178411256
nan,nan,398,0.1889114285
nan,nan,399,0.2000396007
nan,nan,400,0.2115094473
nan,nan,401,0.2232936227
nan,nan,402,0.2353608444
nan,nan,403,0.2476759745
nan,nan,404,0.2602001588
nan,nan,405,0.2728910222
nan,nan,406,0.2857029206
nan,nan,407,0.2985872461
nan,nan,408,0.3114927818
nan,nan,409,0.3243661014
nan,nan,410,0.3371520087
nan,nan,411,0.3497940073
nan,nan,412,0.3622347964
nan,nan,413,0.3655795847
nan,nan,414,0.3641640965
nan,nan,415,0.3584355822
nan,nan,416,0.348913876
nan,nan,417,0.3361699743
nan,nan,418,0.3208073168
nan,nan,419,0.3034435467
nan,nan,420,0.2846917431
nan,nan,421,0.2651413073
nan,nan,422,0.2453395725
nan,nan,423,0.2257756719
nan,nan,424,0.2068681975
nan,nan,425,0.1889577981
nan,nan,426,0.1723052391
nan,nan,427,0.1599013642
nan,nan,428,0.1579934677
nan,nan,429,0.1561600037
nan,nan,430,0.1544174635
nan,nan,431,0.1527784139
nan,nan,432,0.1512548827
nan,nan,433,0.1498584467
nan,nan,434,0.1486003298
nan,nan,435,0.1474915111
nan,nan,436,0.1465428423
nan,nan,437,0.1457651748
nan,nan,438,0.1451694947
nan,nan,439,0.1447670678
nan,nan,440,0.1445695935
nan,nan,441,0.144589369
nan,nan,442,0.1448394642
nan,nan,443,0.1453339095
nan,nan,444,0.1460878958
nan,nan,445,0.1470992812
nan,nan,446,0.1483734437
nan,nan,447,0.149904943
nan,nan,448,0.1516891259
nan,nan,449,0.1537219743
nan,nan,450,0.1559999528
nan,nan,451,0.1585198541
nan,nan,452,0.1612786401
nan,nan,453,0.1642732765
nan,nan,454,0.1675005593
nan,nan,455,0.1709569312
nan,nan,456,0.1746382858
nan,nan,457,0.1785864072
nan,nan,458,0.1827160513
nan,nan,459,0.186979222
nan,nan,460,0.193051144
nan,nan,461,0.2123498322
nan,nan,462,0.2323303439
nan,nan,463,0.2524919607
nan,nan,464,0.2722586802
nan,nan,465,0.2910024911
nan,nan,466,0.3080708243
nan,nan,467,0.3228143851
nan,nan,468,0.3346117274
nan,nan,469,0.3428881056
nan,nan,470,0.3471281678
nan,nan,471,0.3468845837
nan,nan,472,0.3417872362
nan,nan,473,0.3257856785
nan,nan,474,0.3095361925
nan,nan,475,0.2931090501
nan,nan,476,0.2609465895
nan,nan,477,0.2314537755
nan,nan,478,0.2217163924
nan,nan,479,0.2204315024
nan,nan,480,0.2191244796
nan,nan,481,0.2177992167
nan,nan,482,0.2164596062
nan,nan,483,0.2151095284
nan,nan,484,0.2137528405
nan,nan,485,0.212393366
nan,nan,486,0.2110348853
nan,nan,487,0.2096811269
nan,nan,488,0.2083357598
nan,nan,489,0.2070023862
nan,nan,490,0.2056845358
nan,nan,491,0.2043856601
nan,nan,492,0.2031091287
nan,nan,493,0.2018582248
nan,nan,494,0.200636143
nan,nan,495,0.1994459871
nan,nan,496,0.1982907685
nan,nan,497,0.1971734052
nan,nan,498,0.196096722
nan,nan,499,0.1950634504
nan,nan,500,0.1940762295
nan,nan,501,0.1931376068
nan,nan,502,0.19225004
nan,nan,503,0.1914158982
nan,nan,504,0.1906374639
nan,nan,505,0.1899169347
nan,nan,506,0.1892564252
nan,nan,507,0.188657969
nan,nan,508,0.1881235199
nan,nan,509,0.1876549535
nan,nan,510,0.187254068
nan,nan,511,0.1869225852
nan,nan,512,0.1866621499
nan,nan,513,0.1864743297
nan,nan,514,0.1863606135
nan,nan,515,0.1863224091
